"team_number","hero_1","hero_2","hero_3","hero_4","hero_5","hero_6","enhancement_details"
"1","Adam Warlock","Angela","Black Panther","Star-Lord","Storm","Thor","Adam Warlock <- Storm; Angela <- Star-Lord; Black Panther <- Storm; Star-Lord <- Adam Warlock; Storm <- Thor; Thor <- Angela"
"121","Black Widow","Cyclops","Hela","Loki","Phoenix","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"122","Black Widow","Cyclops","Hela","Phoenix","Spider-Man","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"123","Black Widow","Cyclops","Hela","Phoenix","Thor","Venom","Black Widow <- Phoenix; Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"124","Black Widow","Cyclops","Hela","Phoenix","Venom","Wolverine","Black Widow <- Phoenix; Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix; Wolverine <- Cyclops"
"125","Black Widow","Daredevil","Deadpool","Hela","Phoenix","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"126","Black Widow","Daredevil","Hela","Jeff the Land Shark","Phoenix","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"127","Black Widow","Daredevil","Hela","Loki","Phoenix","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"128","Black Widow","Daredevil","Hela","Phoenix","Spider-Man","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"129","Black Widow","Daredevil","Hela","Phoenix","The Punisher","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Phoenix <- Hela; The Punisher <- Daredevil; Venom <- Phoenix"
"130","Black Widow","Daredevil","Hela","Phoenix","Thor","Venom","Black Widow <- Phoenix; Daredevil <- Black Widow; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"131","Black Widow","Deadpool","Elsa Bloodstone","Hela","Phoenix","Venom","Black Widow <- Phoenix; Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"132","Black Widow","Deadpool","Hela","Jeff the Land Shark","Phoenix","Venom","Black Widow <- Phoenix; Deadpool <- Hela; Hela <- Venom; Jeff the Land Shark <- Venom, Deadpool; Phoenix <- Hela; Venom <- Phoenix"
"133","Black Widow","Deadpool","Hela","Loki","Phoenix","Venom","Black Widow <- Phoenix; Deadpool <- Hela; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"134","Black Widow","Deadpool","Hela","Phoenix","Spider-Man","Venom","Black Widow <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"135","Black Widow","Deadpool","Hela","Phoenix","Thor","Venom","Black Widow <- Phoenix; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"136","Black Widow","Devil Dinosaur","Hela","Jeff the Land Shark","Phoenix","Venom","Black Widow <- Phoenix; Devil Dinosaur <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"137","Black Widow","Emma Frost","Hawkeye","Luna Snow","Psylocke","White Fox","Black Widow <- Hawkeye; Emma Frost <- Luna Snow; Hawkeye <- Psylocke; Luna Snow <- White Fox; Psylocke <- Emma Frost; White Fox <- Psylocke"
"138","Black Widow","Gambit","Jubilee","Phoenix","Rogue","The Hood","Black Widow <- Phoenix; Gambit <- Jubilee; Jubilee <- The Hood; Phoenix <- Rogue; Rogue <- Gambit; The Hood <- Jubilee"
"139","Black Widow","Groot","Hela","Jeff the Land Shark","Phoenix","Venom","Black Widow <- Phoenix; Groot <- Jeff the Land Shark; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Venom <- Phoenix"
"140","Black Widow","Hela","Iron Man","Phoenix","Thor","Venom","Black Widow <- Phoenix; Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"141","Black Widow","Hela","Jeff the Land Shark","Loki","Phoenix","Venom","Black Widow <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Loki <- Hela; Phoenix <- Hela; Venom <- Phoenix"
"142","Black Widow","Hela","Jeff the Land Shark","Phoenix","Spider-Man","Venom","Black Widow <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"143","Black Widow","Hela","Jeff the Land Shark","Phoenix","Storm","Venom","Black Widow <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Storm <- Jeff the Land Shark; Venom <- Phoenix"
"144","Black Widow","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Black Widow <- Phoenix; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"145","Black Widow","Hela","Jubilee","Phoenix","The Hood","Venom","Black Widow <- Phoenix; Hela <- Venom; Jubilee <- The Hood; Phoenix <- Hela; The Hood <- Jubilee; Venom <- Phoenix"
"146","Black Widow","Hela","Loki","Phoenix","Spider-Man","Venom","Black Widow <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Spider-Man <- Venom; Venom <- Phoenix"
"147","Black Widow","Hela","Loki","Phoenix","Thor","Venom","Black Widow <- Phoenix; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"148","Black Widow","Hela","Magik","Phoenix","The Hood","Venom","Black Widow <- Phoenix; Hela <- Venom; Magik <- The Hood; Phoenix <- Hela; The Hood <- Magik; Venom <- Phoenix"
"149","Black Widow","Hela","Phoenix","Spider-Man","Squirrel Girl","Venom","Black Widow <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Squirrel Girl <- Spider-Man; Venom <- Phoenix"
"150","Black Widow","Hela","Phoenix","Spider-Man","Thor","Venom","Black Widow <- Phoenix; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"151","Black Widow","Hela","Phoenix","Storm","Thor","Venom","Black Widow <- Phoenix; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"152","Blade","Captain America","Deadpool","Hela","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Deadpool <- Hela; Hela <- Venom; Thor <- Hela; Venom <- Blade"
"153","Blade","Captain America","Hela","Hulk","Namor","Thor","Blade <- Captain America; Captain America <- Thor; Hela <- Namor; Hulk <- Captain America; Namor <- Hulk; Thor <- Hela"
"154","Blade","Captain America","Hela","Hulk","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Hulk <- Captain America; Thor <- Hela; Venom <- Blade"
"155","Blade","Captain America","Hela","Iron Man","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Iron Man <- Thor; Thor <- Hela; Venom <- Blade"
"156","Blade","Captain America","Hela","Jeff the Land Shark","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Jeff the Land Shark <- Venom; Thor <- Hela; Venom <- Blade"
"157","Blade","Captain America","Hela","Jubilee","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Jubilee <- Blade; Thor <- Hela; Venom <- Blade"
"158","Blade","Captain America","Hela","Loki","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Loki <- Hela; Thor <- Hela; Venom <- Blade"
"159","Blade","Captain America","Hela","Phoenix","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Blade, Phoenix"
"160","Blade","Captain America","Hela","Spider-Man","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Spider-Man <- Venom; Thor <- Hela; Venom <- Blade"
"161","Blade","Captain America","Hela","Storm","Thor","Venom","Blade <- Captain America; Captain America <- Thor; Hela <- Venom; Storm <- Thor; Thor <- Hela; Venom <- Blade"
"162","Blade","Cloak & Dagger","Gambit","Jubilee","Moon Knight","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"163","Blade","Cloak & Dagger","Hawkeye","Jubilee","Moon Knight","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"164","Blade","Cloak & Dagger","Hawkeye","Magik","Moon Knight","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Hawkeye <- Cloak & Dagger; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik"
"165","Blade","Cloak & Dagger","Human Torch","Jubilee","Moon Knight","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Human Torch <- Jubilee; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"166","Blade","Cloak & Dagger","Jubilee","Magik","Moon Knight","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Jubilee <- Blade, The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"167","Blade","Cloak & Dagger","Jubilee","Moon Knight","Psylocke","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"168","Blade","Cloak & Dagger","Jubilee","Moon Knight","Scarlet Witch","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"169","Blade","Cloak & Dagger","Jubilee","Moon Knight","The Hood","Venom","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Jubilee <- Blade, The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee; Venom <- Blade"
"170","Blade","Cloak & Dagger","Luna Snow","Moon Knight","Psylocke","White Fox","Blade <- Moon Knight; Cloak & Dagger <- Luna Snow; Luna Snow <- White Fox; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"171","Blade","Cloak & Dagger","Magik","Moon Knight","Psylocke","The Hood","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Magik"
"172","Blade","Cloak & Dagger","Magik","Moon Knight","The Hood","Venom","Blade <- Moon Knight; Cloak & Dagger <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik; Venom <- Blade"
"173","Blade","Deadpool","Elsa Bloodstone","Gambit","Jubilee","Moon Knight","Blade <- Moon Knight; Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- Blade; Moon Knight <- Elsa Bloodstone"
"174","Blade","Deadpool","Elsa Bloodstone","Hela","Moon Knight","Venom","Blade <- Moon Knight; Deadpool <- Hela; Elsa Bloodstone <- Deadpool; Hela <- Venom; Moon Knight <- Elsa Bloodstone; Venom <- Blade"
"175","Blade","Devil Dinosaur","Elsa Bloodstone","Jeff the Land Shark","Moon Knight","Venom","Blade <- Moon Knight; Devil Dinosaur <- Jeff the Land Shark; Elsa Bloodstone <- Devil Dinosaur; Jeff the Land Shark <- Venom; Moon Knight <- Elsa Bloodstone; Venom <- Blade"
"176","Captain America","Cyclops","Hela","Phoenix","Thor","Venom","Captain America <- Thor; Cyclops <- Phoenix; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"177","Captain America","Deadpool","Hela","Hulk","Namor","Thor","Captain America <- Thor; Deadpool <- Hela; Hela <- Namor; Hulk <- Captain America; Namor <- Hulk; Thor <- Hela"
"178","Captain America","Deadpool","Hela","Phoenix","Thor","Venom","Captain America <- Thor; Deadpool <- Hela; Hela <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"179","Captain America","Doctor Strange","Hela","Hulk","Namor","Thor","Captain America <- Thor; Doctor Strange <- Hulk; Hela <- Namor; Hulk <- Captain America; Namor <- Hulk; Thor <- Hela"
"180","Captain America","Hela","Hulk","Iron Man","Namor","Thor","Captain America <- Thor; Hela <- Namor; Hulk <- Captain America; Iron Man <- Hulk, Thor; Namor <- Hulk; Thor <- Hela"
"181","Captain America","Hela","Hulk","Loki","Namor","Thor","Captain America <- Thor; Hela <- Namor; Hulk <- Captain America; Loki <- Hela; Namor <- Hulk; Thor <- Hela"
"182","Captain America","Hela","Hulk","Namor","Phoenix","Thor","Captain America <- Thor; Hela <- Namor; Hulk <- Captain America; Namor <- Hulk; Phoenix <- Hela; Thor <- Hela"
"183","Captain America","Hela","Hulk","Namor","Storm","Thor","Captain America <- Thor; Hela <- Namor; Hulk <- Captain America; Namor <- Hulk; Storm <- Thor; Thor <- Hela"
"184","Captain America","Hela","Hulk","Phoenix","Thor","Venom","Captain America <- Thor; Hela <- Venom; Hulk <- Captain America; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"185","Captain America","Hela","Iron Man","Phoenix","Thor","Venom","Captain America <- Thor; Hela <- Venom; Iron Man <- Thor; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"186","Captain America","Hela","Jeff the Land Shark","Phoenix","Thor","Venom","Captain America <- Thor; Hela <- Venom; Jeff the Land Shark <- Venom; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"187","Captain America","Hela","Loki","Phoenix","Thor","Venom","Captain America <- Thor; Hela <- Venom; Loki <- Hela; Phoenix <- Hela; Thor <- Hela; Venom <- Phoenix"
"188","Captain America","Hela","Phoenix","Spider-Man","Thor","Venom","Captain America <- Thor; Hela <- Venom; Phoenix <- Hela; Spider-Man <- Venom; Thor <- Hela; Venom <- Phoenix"
"189","Captain America","Hela","Phoenix","Storm","Thor","Venom","Captain America <- Thor; Hela <- Venom; Phoenix <- Hela; Storm <- Thor; Thor <- Hela; Venom <- Phoenix"
"190","Cloak & Dagger","Cyclops","Deadpool","Gambit","Jubilee","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"191","Cloak & Dagger","Cyclops","Gambit","Hawkeye","Jubilee","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; The Hood <- Jubilee"
"192","Cloak & Dagger","Cyclops","Gambit","Human Torch","Jubilee","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"193","Cloak & Dagger","Cyclops","Gambit","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"194","Cloak & Dagger","Cyclops","Gambit","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"195","Cloak & Dagger","Cyclops","Gambit","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"196","Cloak & Dagger","Cyclops","Gambit","Jubilee","Rogue","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"197","Cloak & Dagger","Cyclops","Gambit","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"198","Cloak & Dagger","Cyclops","Gambit","Jubilee","The Hood","Wolverine","Cloak & Dagger <- The Hood; Cyclops <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Cyclops, Gambit"
"199","Cloak & Dagger","Daredevil","Iron Fist","Luna Snow","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Daredevil <- Iron Fist; Iron Fist <- White Fox; Luna Snow <- White Fox; Psylocke <- Cloak & Dagger; White Fox <- Psylocke"
"200","Cloak & Dagger","Deadpool","Elsa Bloodstone","Gambit","Jubilee","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Elsa Bloodstone <- Deadpool; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"201","Cloak & Dagger","Deadpool","Gambit","Hawkeye","Jubilee","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; The Hood <- Jubilee"
"202","Cloak & Dagger","Deadpool","Gambit","Human Torch","Jubilee","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"203","Cloak & Dagger","Deadpool","Gambit","Jeff the Land Shark","Jubilee","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jeff the Land Shark <- Deadpool; Jubilee <- The Hood; The Hood <- Jubilee"
"204","Cloak & Dagger","Deadpool","Gambit","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"205","Cloak & Dagger","Deadpool","Gambit","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"206","Cloak & Dagger","Deadpool","Gambit","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"207","Cloak & Dagger","Deadpool","Gambit","Jubilee","Rogue","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"208","Cloak & Dagger","Deadpool","Gambit","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"209","Cloak & Dagger","Deadpool","Gambit","Jubilee","The Hood","Wolverine","Cloak & Dagger <- The Hood; Deadpool <- Gambit; Gambit <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"210","Cloak & Dagger","Doctor Strange","Human Torch","Invisible Woman","Jubilee","The Hood","Cloak & Dagger <- The Hood; Doctor Strange <- Invisible Woman; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"211","Cloak & Dagger","Emma Frost","Hawkeye","Luna Snow","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Emma Frost <- Luna Snow; Hawkeye <- Psylocke, Cloak & Dagger; Luna Snow <- White Fox; Psylocke <- Emma Frost, Cloak & Dagger; White Fox <- Psylocke"
"212","Cloak & Dagger","Emma Frost","Iron Fist","Luna Snow","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Emma Frost <- Luna Snow; Iron Fist <- White Fox; Luna Snow <- White Fox; Psylocke <- Emma Frost, Cloak & Dagger; White Fox <- Psylocke"
"213","Cloak & Dagger","Emma Frost","Luna Snow","Magneto","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Emma Frost <- Luna Snow; Luna Snow <- White Fox; Magneto <- Emma Frost; Psylocke <- Emma Frost, Cloak & Dagger; White Fox <- Psylocke"
"214","Cloak & Dagger","Emma Frost","Luna Snow","Moon Knight","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Emma Frost <- Luna Snow; Luna Snow <- White Fox; Moon Knight <- Cloak & Dagger; Psylocke <- Emma Frost, Cloak & Dagger; White Fox <- Psylocke"
"215","Cloak & Dagger","Emma Frost","Luna Snow","Namor","Psylocke","White Fox","Cloak & Dagger <- Luna Snow; Emma Frost <- Luna Snow; Luna Snow <- White Fox; Namor <- Luna Snow; Psylocke <- Emma Frost, Cloak & Dagger; White Fox <- Psylocke"
"216","Cloak & Dagger","Gambit","Hawkeye","Human Torch","Jubilee","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee"
"217","Cloak & Dagger","Gambit","Hawkeye","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"218","Cloak & Dagger","Gambit","Hawkeye","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"219","Cloak & Dagger","Gambit","Hawkeye","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Psylocke, Cloak & Dagger; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"220","Cloak & Dagger","Gambit","Hawkeye","Jubilee","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"221","Cloak & Dagger","Gambit","Hawkeye","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"222","Cloak & Dagger","Gambit","Hawkeye","Jubilee","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hawkeye <- Cloak & Dagger; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"223","Cloak & Dagger","Gambit","Hulk","Jubilee","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Hulk <- Wolverine; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"224","Cloak & Dagger","Gambit","Human Torch","Invisible Woman","Jubilee","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Invisible Woman <- Human Torch; Jubilee <- The Hood; The Hood <- Jubilee"
"225","Cloak & Dagger","Gambit","Human Torch","Jubilee","Magik","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee"
"226","Cloak & Dagger","Gambit","Human Torch","Jubilee","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee"
"227","Cloak & Dagger","Gambit","Human Torch","Jubilee","Psylocke","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"228","Cloak & Dagger","Gambit","Human Torch","Jubilee","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Rogue <- Gambit; The Hood <- Jubilee"
"229","Cloak & Dagger","Gambit","Human Torch","Jubilee","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"230","Cloak & Dagger","Gambit","Human Torch","Jubilee","The Hood","The Thing","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; The Thing <- Human Torch"
"231","Cloak & Dagger","Gambit","Human Torch","Jubilee","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Human Torch <- Jubilee; Jubilee <- The Hood; The Hood <- Jubilee; Wolverine <- Gambit"
"232","Cloak & Dagger","Gambit","Jubilee","Magik","Moon Knight","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"233","Cloak & Dagger","Gambit","Jubilee","Magik","Psylocke","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Psylocke <- Cloak & Dagger; The Hood <- Magik, Jubilee"
"234","Cloak & Dagger","Gambit","Jubilee","Magik","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Rogue <- Gambit; The Hood <- Magik, Jubilee"
"235","Cloak & Dagger","Gambit","Jubilee","Magik","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; Scarlet Witch <- Jubilee; The Hood <- Magik, Jubilee"
"236","Cloak & Dagger","Gambit","Jubilee","Magik","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Magik <- The Hood; The Hood <- Magik, Jubilee; Wolverine <- Gambit"
"237","Cloak & Dagger","Gambit","Jubilee","Magneto","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee, Magneto; Jubilee <- The Hood; Magneto <- Scarlet Witch; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"238","Cloak & Dagger","Gambit","Jubilee","Moon Knight","Psylocke","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Psylocke <- Cloak & Dagger; The Hood <- Jubilee"
"239","Cloak & Dagger","Gambit","Jubilee","Moon Knight","Rogue","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Rogue <- Gambit; The Hood <- Jubilee"
"240","Cloak & Dagger","Gambit","Jubilee","Moon Knight","Scarlet Witch","The Hood","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; Scarlet Witch <- Jubilee; The Hood <- Jubilee"
"241","Cloak & Dagger","Gambit","Jubilee","Moon Knight","The Hood","Wolverine","Cloak & Dagger <- The Hood; Gambit <- Jubilee; Jubilee <- The Hood; Moon Knight <- Cloak & Dagger; The Hood <- Jubilee; Wolverine <- Gambit"
